date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,year,month,month_name,day,season,aqi_category
2022-11-05,61.16666666666666,38.65833333333333,563.6666666666666,7.962499999999999,9.1625,78.29166666666667,0.5354166666666667,18.791666666666668,1.4229166666666666,105.83333333333331,70.16666666666667,2022,11,November,Saturday,Harmattan / Dry,Unhealthy for Sensitive Groups
2022-11-06,39.6125,24.775,428.625,5.4125000000000005,5.75,78.41666666666667,0.5441666666666667,13.291666666666666,1.0875,85.58333333333333,62.708333333333336,2022,11,November,Sunday,Harmattan / Dry,Moderate
2022-11-07,49.57916666666667,31.3,500.4583333333333,6.245833333333334,8.424999999999999,86.83333333333333,0.4658333333333333,15.958333333333334,1.325,85.70833333333333,62.958333333333336,2022,11,November,Monday,Harmattan / Dry,Moderate
2022-11-08,41.1,26.375,453.25,6.4125000000000005,6.254166666666666,73.75,0.4595833333333333,11.333333333333334,1.3479166666666669,84.875,62.79166666666666,2022,11,November,Tuesday,Harmattan / Dry,Moderate
2022-11-09,32.791666666666664,22.041666666666668,445.375,6.075,6.0625,77.83333333333333,0.4212499999999999,4.375,1.3270833333333334,77.75,57.875,2022,11,November,Wednesday,Harmattan / Dry,Moderate
2022-11-10,24.65833333333333,16.587500000000002,392.375,5.3375,5.604166666666667,76.95833333333333,0.3825,2.708333333333333,0.9333333333333332,63.333333333333336,39.16666666666666,2022,11,November,Thursday,Harmattan / Dry,Moderate
2022-11-11,30.791666666666668,21.03333333333333,467.4166666666667,8.825000000000001,7.116666666666667,56.54166666666666,0.2870833333333333,1.8333333333333333,0.9375,64.375,37.54166666666666,2022,11,November,Friday,Harmattan / Dry,Moderate
2022-11-12,30.48333333333333,21.0125,518.625,7.820833333333333,7.212499999999999,65.79166666666667,0.3429166666666667,1.75,0.8145833333333333,69.66666666666667,45.0,2022,11,November,Saturday,Harmattan / Dry,Moderate
2022-11-13,37.00416666666667,25.15833333333333,577.8333333333334,14.608333333333334,4.145833333333333,52.25,0.3195833333333333,2.875,1.0229166666666667,75.0,54.75,2022,11,November,Sunday,Harmattan / Dry,Moderate
2022-11-14,34.987500000000004,22.2125,468.5833333333333,11.091666666666669,3.4166666666666665,57.125,0.4166666666666667,8.333333333333334,0.7875,73.91666666666667,53.0,2022,11,November,Monday,Harmattan / Dry,Moderate
2022-11-15,40.50416666666667,25.5125,486.9166666666667,10.420833333333333,4.6625000000000005,73.41666666666667,0.43,12.333333333333334,1.5,74.45833333333333,55.04166666666666,2022,11,November,Tuesday,Harmattan / Dry,Moderate
2022-11-16,34.37916666666667,22.258333333333336,458.7083333333333,9.766666666666667,4.025,66.16666666666667,0.4937499999999999,8.208333333333334,1.13125,76.0,56.5,2022,11,November,Wednesday,Harmattan / Dry,Moderate
2022-11-17,32.104166666666664,20.95,505.4166666666667,11.170833333333334,3.8375,67.875,0.4225,6.708333333333333,1.2666666666666668,71.54166666666667,48.5,2022,11,November,Thursday,Harmattan / Dry,Moderate
2022-11-18,33.4375,21.90833333333333,515.9583333333334,12.245833333333332,4.654166666666667,69.08333333333333,0.4016666666666666,6.208333333333333,1.39375,69.58333333333333,46.29166666666666,2022,11,November,Friday,Harmattan / Dry,Moderate
2022-11-19,42.66666666666666,28.704166666666666,454.125,8.120833333333334,7.620833333333334,67.70833333333333,0.4433333333333333,5.166666666666667,1.4833333333333334,77.16666666666667,57.41666666666666,2022,11,November,Saturday,Harmattan / Dry,Moderate
2022-11-20,41.425,27.60833333333333,431.0,5.4375,6.104166666666667,81.125,0.4466666666666667,7.458333333333333,1.3875,85.16666666666667,62.79166666666666,2022,11,November,Sunday,Harmattan / Dry,Moderate
2022-11-21,36.09166666666667,23.46666666666667,383.9583333333333,4.558333333333334,5.4125000000000005,80.54166666666667,0.475,8.416666666666666,1.05,78.125,58.833333333333336,2022,11,November,Monday,Harmattan / Dry,Moderate
2022-11-22,34.5625,22.5,389.0833333333333,5.445833333333333,6.379166666666666,72.66666666666667,0.4404166666666667,7.5,0.7833333333333333,73.41666666666667,52.083333333333336,2022,11,November,Tuesday,Harmattan / Dry,Moderate
2022-11-23,44.9625,29.5375,423.875,6.8500000000000005,7.4125,61.583333333333336,0.3404166666666666,8.041666666666666,1.6708333333333334,84.16666666666667,61.5,2022,11,November,Wednesday,Harmattan / Dry,Moderate
2022-11-24,44.8,28.6125,443.0416666666667,5.495833333333334,6.6125,79.0,0.4229166666666666,13.041666666666666,1.7125,82.625,62.0,2022,11,November,Thursday,Harmattan / Dry,Moderate
2022-11-25,42.875,27.0,408.625,4.366666666666666,5.6375,74.375,0.4929166666666666,13.916666666666666,1.675,83.875,62.41666666666666,2022,11,November,Friday,Harmattan / Dry,Moderate
2022-11-26,38.7875,24.620833333333334,403.2916666666667,4.120833333333334,5.795833333333333,83.66666666666667,0.4737499999999999,11.291666666666666,1.4229166666666666,79.16666666666667,60.16666666666666,2022,11,November,Saturday,Harmattan / Dry,Moderate
2022-11-27,40.91666666666666,26.73333333333333,439.375,5.983333333333333,7.366666666666667,73.95833333333333,0.4679166666666667,7.625,1.25625,80.0,60.708333333333336,2022,11,November,Sunday,Harmattan / Dry,Moderate
2022-11-28,46.0625,31.475,556.1666666666666,10.104166666666666,4.904166666666667,81.08333333333333,0.6516666666666667,4.708333333333333,0.9208333333333334,82.04166666666667,61.708333333333336,2022,11,November,Monday,Harmattan / Dry,Moderate
2022-11-29,56.583333333333336,38.67916666666667,805.625,18.4375,5.158333333333333,74.70833333333333,0.6158333333333333,5.333333333333333,0.9979166666666668,107.75,70.91666666666667,2022,11,November,Tuesday,Harmattan / Dry,Unhealthy for Sensitive Groups
2022-11-30,40.04583333333333,26.95833333333333,459.125,6.258333333333333,6.266666666666667,83.45833333333333,0.4483333333333333,4.083333333333333,1.5625,89.04166666666667,64.29166666666667,2022,11,November,Wednesday,Harmattan / Dry,Moderate
2022-12-01,45.65,31.141666666666666,484.0833333333333,7.7375,8.975,69.70833333333333,0.4345833333333333,3.25,1.1041666666666667,88.45833333333333,64.125,2022,12,December,Thursday,Harmattan / Dry,Moderate
2022-12-02,41.67916666666667,28.625,499.4166666666667,6.170833333333333,7.858333333333333,82.04166666666667,0.5791666666666667,2.958333333333333,1.25625,88.375,64.04166666666667,2022,12,December,Friday,Harmattan / Dry,Moderate
2022-12-03,33.34583333333334,22.55,463.5833333333333,10.070833333333333,4.1625000000000005,69.875,0.5358333333333333,2.9166666666666665,1.2375,76.41666666666667,55.625,2022,12,December,Saturday,Harmattan / Dry,Moderate
2022-12-04,34.46666666666666,23.266666666666666,555.0416666666666,12.933333333333332,3.466666666666667,68.0,0.5191666666666667,3.083333333333333,0.9,73.79166666666667,52.79166666666666,2022,12,December,Sunday,Harmattan / Dry,Moderate
2022-12-05,38.03333333333333,25.0625,459.0,7.241666666666667,7.291666666666667,74.75,0.46875,5.291666666666667,0.8958333333333334,77.45833333333333,57.875,2022,12,December,Monday,Harmattan / Dry,Moderate
2022-12-06,32.775,21.77083333333333,429.375,6.904166666666666,6.491666666666667,67.04166666666667,0.49,3.7916666666666665,0.6395833333333333,75.33333333333333,55.5,2022,12,December,Tuesday,Harmattan / Dry,Moderate
2022-12-07,38.0,25.15833333333333,463.0416666666667,6.4125000000000005,7.170833333333333,78.70833333333333,0.4658333333333333,5.75,1.1375,72.875,51.083333333333336,2022,12,December,Wednesday,Harmattan / Dry,Moderate
